ALKANEMONOX-PWY;two-component alkanesulfonate monooxygenase;ssuD ssuE;G6477 G6479
SULFATE-CYS-PWY;superpathway of sulfate assimilation and cysteine biosynthesis;trxA trxC aphA serB serA serC cysM cysK cysE cysC cysN cysD cysI cysJ cysH;EG11031 EG11887 EG11934 EG10945 EG10944 EG10946 EG10193 EG10192 EG10187 EG10185 EG10194 EG10186 EG10190 EG10191 EG10189
GLCMANNANAUT-PWY;superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation;nanK nanA nanE nagA nagB;G7676 EG10637 G7677 EG10632 EG10633
ORNDEG-PWY;superpathway of ornithine degradation;puuA puuB puuC puuD patA patD speF;G6644 EG11822 EG10036 G6645 G7596 G6755 EG10964
PWY0-981;taurine degradation IV;tauD;EG12423
PWY-6071;superpathway of phenylethylamine degradation;paaF paaK paaZ paaG paaJ paaB paaC paaA paaE paaH feaB tynA;G6714 G6719 G6708 G6715 G6718 G6710 G6711 G6709 G6713 G6716 G7961 EG13139
PWY0-1477;ethanolamine utilization;adhP adhE purT ackA eutD pta mhpF eutE eutC eutB;G6775 EG10031 EG11809 EG10027 G7288 EG20173 M014 G7285 EG50007 EG50006
PWY0-1298;superpathway of pyrimidine deoxyribonucleosides degradation;mhpF adhE eutE deoC deoB ppnP deoA cdd;M014 EG10031 G7285 EG10221 EG10220 EG12159 EG10219 EG10137
PWY-1801;formaldehyde oxidation II (glutathione-dependent);frmA yeiG frmB;EG50010 EG12026 G6208
GLUTSYNIII-PWY;L-glutamate biosynthesis III;gdhA;EG10372
GLUTSYN-PWY;L-glutamate biosynthesis I;gltD gltB;EG10404 EG10403
PWY0-1597;prenylated FMNH<sub>2</sub> biosynthesis;ubiX thiM nudJ nudF;EG11044 M007 G6580 EG12633
RIBOSYN2-PWY;flavin biosynthesis I (bacteria and plants);ribA ribD ribB yigB ybjI ribE ribC ribF;EG11331 EG11321 EG10465 EG11202 G6442 EG11322 EG11406 EG11079
PWY-4621;arsenate detoxification II (glutaredoxin);grxC grxB nrdH grxA arsC;EG12294 EG12688 G7401 EG10417 EG12237
PWY0-862;(5Z)-dodecenoate biosynthesis I;acpP fabA fabZ fabB fabG fabI;EG50003 EG10273 EG11284 EG10274 EG11318 EG11528
PWY-6284;superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>);acpP fabI fabZ fabG fabF fabB tesA fabA;EG50003 EG11528 EG11284 EG11318 EG12606 EG10274 EG11542 EG10273
SERDEG-PWY;L-serine degradation;tdcG sdaA tdcB sdaB;G7624 EG10930 EG10990 EG11623
PWY-5973;<i>cis</i>-vaccenate biosynthesis;acpP fabI fabZ fabG fabF fabB tesA;EG50003 EG11528 EG11284 EG11318 EG12606 EG10274 EG11542
GLYCOLYSIS;glycolysis I (from glucose 6-phosphate);gpmA yggF ybhA glpX fbp ppsA pgi pfkA pfkB fbaB fbaA tpiA gapA pgk gpmM eno pykF pykA;EG11699 EG11245 EG11239 EG11517 EG10283 EG10759 EG10702 EG10699 EG10700 G7129 EG10282 EG11015 EG10367 EG10703 EG12296 EG10258 EG10804 EG10803
SERSYN-PWY;L-serine biosynthesis I;serB serA serC;EG10945 EG10944 EG10946
PWY-5484;glycolysis II (from fructose 6-phosphate);gpmA phoA yggF ybhA glpX fbp ppsA pfkA pfkB fbaB fbaA tpiA gapA pgk gpmM eno pykF pykA;EG11699 EG10727 EG11245 EG11239 EG11517 EG10283 EG10759 EG10699 EG10700 G7129 EG10282 EG11015 EG10367 EG10703 EG12296 EG10258 EG10804 EG10803
GLYCOGENSYNTH-PWY;glycogen biosynthesis I (from ADP-D-Glucose);pgm glgC glgB glgA;EG12144 EG10379 EG10378 EG10377
PWY-6708;ubiquinol-8 biosynthesis (prokaryotic);ubiA ubiD ubiI ubiG ubiH ubiE ubiF;EG11370 EG11396 EG11333 EG11143 EG11324 EG11473 G6365
PWY-5966;fatty acid biosynthesis initiation II;acpP fabH fabF fabB;EG50003 EG10277 EG12606 EG10274
TRESYN-PWY;trehalose biosynthesis I;otsB otsA;EG11752 EG11751
FASYN-INITIAL-PWY;superpathway of fatty acid biosynthesis initiation (E. coli);acpP fabH fabF fabB accD accA fabD;EG50003 EG10277 EG12606 EG10274 EG10217 EG11647 EG11317
PWY0-881;superpathway of fatty acid biosynthesis I (E. coli);acpP fabI fabF fabB fabG fabZ fabA fabH accD accA fabD;EG50003 EG11528 EG12606 EG10274 EG11318 EG11284 EG10273 EG10277 EG10217 EG11647 EG11317
PWY0-1568;NADH to cytochrome <i>bd</i> oxidase electron transfer II;cydX cydB cydA ndh;G0-10441 EG10174 EG10173 EG10649
PWY-4381;fatty acid biosynthesis initiation I;acpP accD accA fabH fabD;EG50003 EG10217 EG11647 EG10277 EG11317
PWY0-1561;glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer;cyoC cyoB cyoA cyoD glpD;EG10180 EG10179 EG10178 EG10181 EG10394
PWY-5965;fatty acid biosynthesis initiation III;acpP fabB fabF;EG50003 EG10274 EG12606
PWY0-1335;NADH to cytochrome <i>bo</i> oxidase electron transfer I;cyoC cyoB cyoA cyoD nuoB nuoC nuoE nuoF nuoG nuoI nuoN nuoM nuoL nuoK nuoJ nuoH nuoA;EG10180 EG10179 EG10178 EG10181 EG12083 EG12084 EG12086 EG11774 EG12087 EG12089 EG12093 EG11773 EG12092 EG12091 EG12090 EG12088 EG12082
FASYN-ELONG-PWY;fatty acid elongation -- saturated;acpP fabI fabF fabB fabG fabZ fabA;EG50003 EG11528 EG12606 EG10274 EG11318 EG11284 EG10273
PWY-7545;pyruvate to cytochrome <i>bd</i> oxidase electron transfer;cydX cydB cydA poxB;G0-10441 EG10174 EG10173 EG10754
GLUTAMINDEG-PWY;L-glutamine degradation I;glsA glsB hisF hisH guaA pyrG carA carB asnB gltD gltB;G6261 G6810 EG10448 EG10450 EG10420 EG10810 EG10134 EG10135 EG10092 EG10404 EG10403
PWY0-1565;D-lactate to cytochrome <i>bo</i> oxidase electron transfer;cyoC cyoB cyoA cyoD dld;EG10180 EG10179 EG10178 EG10181 EG10231
CARNMET-PWY;L-carnitine degradation I;caiC caiD caiB caiA;EG11558 EG11557 EG11559 EG11560
PWY0-1353;succinate to cytochrome <i>bd</i> oxidase electron transfer;cydX cydB cydA sdhA sdhB sdhC sdhD;G0-10441 EG10174 EG10173 EG10931 EG10932 EG10933 EG10934
PWY-7805;(aminomethyl)phosphonate degradation;phoA ppa apt phnN phnP phnJ phnM phnI phnG phnH phnL phnO;EG10727 EG10755 EG10051 EG10723 EG10725 EG10719 EG10722 EG10718 EG10716 EG10717 EG10721 EG10724
PWY0-1329;succinate to cytochrome <i>bo</i> oxidase electron transfer;sdhA sdhB sdhC sdhD cyoC cyoB cyoA cyoD;EG10931 EG10932 EG10933 EG10934 EG10180 EG10179 EG10178 EG10181
PWY0-1567;NADH to cytochrome <i>bo</i> oxidase electron transfer II;cyoC cyoB cyoA cyoD ndh;EG10180 EG10179 EG10178 EG10181 EG10649
PWY0-1544;proline to cytochrome <i>bo</i> oxidase electron transfer;putA cyoC cyoB cyoA cyoD;EG10801 EG10180 EG10179 EG10178 EG10181
TYRSYN;L-tyrosine biosynthesis I;tyrA pheA aspC tyrB;EG11039 EG10707 EG10096 EG11040
PWY0-1334;NADH to cytochrome <i>bd</i> oxidase electron transfer I;cydX cydB cydA nuoB nuoC nuoE nuoF nuoG nuoI nuoN nuoM nuoL nuoK nuoJ nuoH nuoA;G0-10441 EG10174 EG10173 EG12083 EG12084 EG12086 EG11774 EG12087 EG12089 EG12093 EG11773 EG12092 EG12091 EG12090 EG12088 EG12082
PWY-7544;pyruvate to cytochrome <i>bo</i> oxidase electron transfer;cyoC cyoB cyoA cyoD poxB;EG10180 EG10179 EG10178 EG10181 EG10754
LPSSYN-PWY;superpathway of lipopolysaccharide biosynthesis;acpP waaU waaJ waaO waaB waaY waaQ waaP waaG waaF waaC lpxM lpxL waaA gutQ kdsD kdsA kdsC kdsB lpxA lpxC lpxD lpxH lpxK lpxB;EG50003 EG11423 EG11353 EG11352 EG11351 EG11425 EG11341 EG11340 EG11339 EG12210 EG11189 EG10614 EG10464 EG10520 EG10973 G7662 EG10518 G7663 EG10519 EG10545 EG10265 EG10316 EG12666 EG11409 EG10546
PWY-6121;5-aminoimidazole ribonucleotide biosynthesis I;purM purL purN purD purF;EG10798 EG10797 EG10799 EG10792 EG10794
KDO-LIPASYN-PWY;(Kdo)<sub>2</sub>-lipid A biosynthesis I;acpP lpxM lpxL;EG50003 EG10614 EG10464
DTDPRHAMSYN-PWY;dTDP-L-rhamnose biosynthesis;rffH rfbA rfbB rfbD rfbC;EG11454 EG11978 EG12412 EG12411 EG11979
NAGLIPASYN-PWY;lipid IV<sub>A</sub> biosynthesis;acpP lpxA lpxC lpxD lpxH lpxK lpxB;EG50003 EG10545 EG10265 EG10316 EG12666 EG11409 EG10546
PWY-6277;superpathway of 5-aminoimidazole ribonucleotide biosynthesis;purT purM purL purD purF purN;EG11809 EG10798 EG10797 EG10792 EG10794 EG10799
KDO-NAGLIPASYN-PWY;superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis;acpP gutQ kdsD kdsA kdsC kdsB lpxM lpxP lpxL lpxA lpxC lpxD lpxH lpxK lpxB waaA;EG50003 EG10973 G7662 EG10518 G7663 EG10519 EG10614 G7241 EG10464 EG10545 EG10265 EG10316 EG12666 EG11409 EG10546 EG10520
PWY-7315;dTDP-<i>N</i>-acetylthomosamine biosynthesis;rffG rfbB rffH rfbA wecE rffC;EG11453 EG12412 EG11454 EG11978 EG11456 EG11455
PWY0-1264;biotin-carboxyl carrier protein assembly;accD accA accC birA;EG10217 EG11647 EG10276 EG10123
PWY-6122;5-aminoimidazole ribonucleotide biosynthesis II;purT purM purL purD purF;EG11809 EG10798 EG10797 EG10792 EG10794
LIPA-CORESYN-PWY;lipid A-core biosynthesis (<i>E. coli</i> K-12);waaU waaJ waaO waaB waaY waaQ waaP waaG waaF waaC;EG11423 EG11353 EG11352 EG11351 EG11425 EG11341 EG11340 EG11339 EG12210 EG11189
PWY0-1277;3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation;mhpF adhE eutE mhpE mhpD hcaE hcaF hcaD hcaC hcaB mhpA mhpB mhpC;M014 EG10031 G7285 G6205 M013 M009 M015 G7336 G7334 G7335 M010 M011 M012
PWY-6910;hydroxymethylpyrimidine salvage;thiD pdxK;G7135 G7259
TCA;TCA cycle I (prokaryotic);mqo sdhA sdhB sdhC sdhD acnB acnA gltA icd lpd sucB sucA sucC sucD fumE fumD fumA fumB fumC mdh maeA;EG12069 EG10931 EG10932 EG10933 EG10934 EG12316 EG11325 EG10402 EG10489 EG10543 EG10980 EG10979 EG10981 EG10982 EG11162 G6903 EG10356 EG10357 EG10358 EG10576 EG10948
ALADEG-PWY;L-alanine degradation I;dadA dadX alr;EG11407 EG11408 EG10001
4AMINOBUTMETAB-PWY;superpathway of 4-aminobutanoate degradation;gabD puuE gabT puuC sad;EG11329 G6646 EG10361 EG10036 G6811
TRYPDEG-PWY;L-tryptophan degradation II (via pyruvate);tnaA;EG11005
PWY-6535;4-aminobutanoate degradation I;puuC sad puuE;EG10036 G6811 G6646
PWY-5668;cardiolipin biosynthesis I;pgsA clsB clsA pgpC pgpB pgpA;EG10706 G6406 EG11608 EG11371 EG10705 EG10704
PWY-6537;4-aminobutanoate degradation II;gabD gabT;EG11329 EG10361
PWY0-1545;cardiolipin biosynthesis III;clsC pgpC pgpB pgpA pgsA;G6551 EG11371 EG10705 EG10704 EG10706
ACETOACETATE-DEG-PWY;acetoacetate degradation (to acetyl CoA);ydiF atoD atoA atoB;EG12432 EG11669 EG11670 EG11672
PWY-5686;UMP biosynthesis I;pyrD pyrF pyrE pyrC pyrI pyrB carA carB;EG10807 EG10809 EG10808 EG10806 EG10811 EG10805 EG10134 EG10135
PWY-4261;glycerol degradation I;glpC glpB glpA glpD glpK;EG10393 EG10392 EG10391 EG10394 EG10398
PWY0-1312;acetate and ATP formation from acetyl-CoA I;eutD pta ackA;G7288 EG20173 EG10027
PWY0-1021;L-alanine biosynthesis III;sufS iscS;G6906 G7325
FERMENTATION-PWY;mixed acid fermentation;icd acnB gltA frdD frdC frdB frdA hycD hycC hycF hycG hycB hycE fdhF ppc mdh maeA fumE fumD fumA fumB fumC ldhA pykF pykA adhP adhE eutE pflB tdcE ackA eutD pta;EG10489 EG12316 EG10402 EG10333 EG10332 EG10331 EG10330 EG10477 EG10476 EG10479 EG10480 EG10475 EG10478 EG10285 EG10756 EG10576 EG10948 EG11162 G6903 EG10356 EG10357 EG10358 G592 EG10804 EG10803 G6775 EG10031 G7285 EG10701 G7627 EG10027 G7288 EG20173
PWY0-1061;superpathway of L-alanine biosynthesis;alaC alaA alaB sufS iscS avtA dadX alr ilvE;G7242 G7184 G0-9281 G6906 G7325 EG10107 EG11408 EG10001 EG10497
ALANINE-SYN2-PWY;L-alanine biosynthesis II;alaC alaA;G7242 G7184
ALANINE-VALINESYN-PWY;L-alanine biosynthesis I;avtA dadX alr ilvE;EG10107 EG11408 EG10001 EG10497
PWY-5755;4-hydroxybenzoate biosynthesis II (bacteria);ubiC;EG11369
PWY0-1182;trehalose degradation II (cytosolic);glk treF;EG12957 EG12245
PWY0-1466;trehalose degradation VI (periplasmic);treA;EG11017
GLYOXYLATE-BYPASS;glyoxylate cycle;acnB acnA gltA aceA aceB mdh maeA;EG12316 EG11325 EG10402 EG10022 EG10023 EG10576 EG10948
PWY0-1517;sedoheptulose bisphosphate bypass;fbaA pfkA;EG10282 EG10699
TREDEGLOW-PWY;trehalose degradation I (low osmolarity);glk treC;EG12957 EG11402
GLYCOLYSIS-E-D;superpathway of glycolysis and the Entner-Doudoroff pathway;pgl zwf gpmA yggF ybhA glpX fbp ppsA pgi pfkA pfkB fbaB fbaA tpiA gapA pgk gpmM eno pykF pykA edd eda;G6397 EG11221 EG11699 EG11245 EG11239 EG11517 EG10283 EG10759 EG10702 EG10699 EG10700 G7129 EG10282 EG11015 EG10367 EG10703 EG12296 EG10258 EG10804 EG10803 EG10257 EG10256
PWY-6519;8-amino-7-oxononanoate biosynthesis I;acpP bioF fabB bioC fabG fabZ fabI bioH;EG50003 EG10121 EG10274 EG10119 EG11318 EG11284 EG11528 EG10122
GLYCOLYSIS-TCA-GLYOX-BYPASS;superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass;lpd aceF aceE gpmA yggF ybhA glpX fbp ppsA pgi pfkA pfkB fbaB fbaA tpiA gapA pgk gpmM eno pykF pykA mqo sdhA sdhB sdhC sdhD acnB acnA prpC gltA icd sucB sucA sucC sucD fumE fumD fumA fumB fumC mdh maeA aceA glcB aceB;EG10543 EG10025 EG10024 EG11699 EG11245 EG11239 EG11517 EG10283 EG10759 EG10702 EG10699 EG10700 G7129 EG10282 EG11015 EG10367 EG10703 EG12296 EG10258 EG10804 EG10803 EG12069 EG10931 EG10932 EG10933 EG10934 EG12316 EG11325 G6198 EG10402 EG10489 EG10980 EG10979 EG10981 EG10982 EG11162 G6903 EG10356 EG10357 EG10358 EG10576 EG10948 EG10022 EG20080 EG10023
ARO-PWY;chorismate biosynthesis I;aroD aroE ydiB aroK aroL aroA aroC aroF aroH aroG aroB;EG10076 EG10077 EG11234 EG10081 EG10082 EG10073 EG10075 EG10078 EG10080 EG10079 EG10074
PWY-6163;chorismate biosynthesis from 3-dehydroquinate;aroD aroE aroK aroL aroA aroC;EG10076 EG10077 EG10081 EG10082 EG10073 EG10075
PWY-5194;siroheme biosynthesis;cysG;EG10188
PWY0-1338;polymyxin resistance;arnT arnD arnC arnB arnA;G7170 G7169 G7167 G7166 G7168
PWY0-1275;lipoate biosynthesis and incorporation II;fdx lipA lplA;EG11328 EG11306 EG11796
PWY0-501;lipoate biosynthesis and incorporation I;acpP fdx lipB lipA;EG50003 EG11328 EG11591 EG11306
PWY0-522;lipoate salvage I;lplA;EG11796
PWY0-1534;hydrogen sulfide biosynthesis I;sseA aspC;EG11600 EG10096
BGALACT-PWY;lactose degradation III;lacZ;EG10527
ILEUSYN-PWY;L-isoleucine biosynthesis I (from threonine);ilvA ilvM ilvG ilvH ilvI ilvC ilvE ilvD;EG10493 EG10501 G8221 EG10499 EG10500 EG10495 EG10497 EG10496
PWY0-1261;anhydromuropeptides recycling I;murB murA mpl mepS ldcA glmU glmM nagA amiD ampD nagZ anmK murQ;EG11205 EG11358 EG12440 G7147 G6621 EG11198 EG11553 EG10632 G6452 EG10041 G6567 G6880 G7263
2PHENDEG-PWY;phenylethylamine degradation I;feaB tynA;G7961 EG13139
ENTNER-DOUDOROFF-PWY;Entner-Doudoroff shunt;edd eda;EG10257 EG10256
PWY-5509;adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I;cobT cobC cobS;EG12151 G6349 EG12150
PWY-6690;cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate;mhpA hcaB mhpC mhpB hcaE hcaF hcaD hcaC;M010 G7335 M012 M011 M009 M015 G7336 G7334
PWY-6952;glycerophosphodiester degradation;glpC glpB glpA glpD ugpQ glpQ;EG10393 EG10392 EG10391 EG10394 EG11050 EG10399
HCAMHPDEG-PWY;3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate;hcaE hcaF hcaD hcaC hcaB mhpA mhpB mhpC;M009 M015 G7336 G7334 G7335 M010 M011 M012
PWY0-521;fructoselysine and psicoselysine degradation;frlC frlD frlB;G7724 G7726 G7723
PWY0-1546;muropeptide degradation;pepD ycjG mpaA mepS ldcA;EG10695 G6661 G6662 G7147 G6621
PENTOSE-P-PWY;pentose phosphate pathway;gnd zwf pgl rpiA rpiB rpe tktB tktA talA talB;EG10411 EG11221 G6397 EG11443 EG11827 M004 EG12100 EG11427 EG11797 EG11556
PWY0-1550;PyrSR Two-Component Signal Transduction System;pyrR pyrS;G7244 G7243
NONOXIPENT-PWY;pentose phosphate pathway (non-oxidative branch);rpiA rpiB rpe tktB tktA talA talB;EG11443 EG11827 M004 EG12100 EG11427 EG11797 EG11556
PWY0-381;glycerol and glycerophosphodiester degradation;glpC glpB glpA glpD ugpQ glpQ glpK;EG10393 EG10392 EG10391 EG10394 EG11050 EG10399 EG10398
OXIDATIVEPENT-PWY;pentose phosphate pathway (oxidative branch) I;gnd zwf pgl;EG10411 EG11221 G6397
PROSYN-PWY;L-proline biosynthesis I;proB proA proC;EG10768 EG10767 EG10769
GLYCEROLMETAB-PWY;glycerol degradation V;dhaM dhaL dhaK gldA;EG12399 G6626 G6627 EG11904
PWY0-1498;ZraSR Two-Component Signal Transduction System;zraS zraR;EG10008 EG10482
GLYCOL-GLYOXDEG-PWY;superpathway of glycol metabolism and degradation;fucO aldA glcF glcE glcD glcB aceB glxK garK glxR gcl;EG10351 EG10035 G0-8601 G7544 G7545 EG20080 EG10023 G6283 EG11175 G6278 EG11583
PWY0-1493;Rcs Signal Transduction System;rcsD rcsB rcsC;EG12385 EG10821 EG10822
PWY0-1280;ethylene glycol degradation;fucO aldA;EG10351 EG10035
PWY0-1515;NarX Two-Component Signal Transduction System, nitrate dependent;narL narX narP;EG10643 EG10646 EG11527
PWY0-1241;ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis;gmhA rfaD gmhB hldE;G6106 EG10838 EG11736 G7590
PWY0-1487;CreCB Two-Component Signal Transduction System;creC creB;EG10730 EG11218
GALACTMETAB-PWY;galactose degradation I (Leloir pathway);galM galU galE galT galK;EG11698 EG11319 EG10362 EG10366 EG10363
OANTIGEN-PWY;<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>);pgi glmM glmS glmU rffH rfbA rffG rfbB rfbD rfbC glf;EG10702 EG11553 EG10382 EG11198 EG11454 EG11978 EG11453 EG12412 EG12411 EG11979 EG11981
PWY0-1509;NtrBC Two-Component Signal Transduction System, nitrogen-dependent;glnL glnG;EG10387 EG10385
PWY0-1482;BasSR Two-Component Signal Transduction System;basS basR;EG11614 EG11615
KDOSYN-PWY;Kdo transfer to lipid IV<sub>A</sub> I;waaA;EG10520
ECASYN-PWY;enterobacterial common antigen biosynthesis;wzxE wecB wecC rffG rffH rfbA wecE rffC rfe wecF rffM;EG11486 EG11451 EG11452 EG11453 EG11454 EG11978 EG11456 EG11455 EG10840 G7800 EG11458
PWY0-1503;GlrKR Two-Component Signal Transduction System;glrK glrR;G7345 EG11285
PWY0-662;PRPP biosynthesis;prs;EG10774
PWY0-1470;QseBC Two-Component Signal Transduction System, quorum sensing related;qseC qseB;EG12658 G7575
GLUAMCAT-PWY;<i>N</i>-acetylglucosamine degradation I;nagA nagB;EG10632 EG10633
PWY0-1559;BtsSR Two-Component Signal Transduction System;btsS btsR;EG12007 EG12006
PWY0-1499;DpiBA Two-Component Signal Transduction System;dpiB dpiA;G6345 G6346
METHGLYUT-PWY;superpathway of methylglyoxal degradation;lldD aldA gldA yqhD yeaE dkgA dkgB gpr dld gloC yeiG gloB gloA;EG11963 EG10035 EG11904 G7564 G6967 G7565 EG11648 G7558 EG10231 G6475 EG12026 G6099 G6891
SALVADEHYPOX-PWY;adenosine nucleotides degradation II;phoA ushA umpG umpH aphA xdhC xdhB xdhA add ppnP xapA deoD;EG10727 EG11060 EG11817 EG10634 EG11934 G7487 G7486 G7485 EG10030 EG12159 G85 EG10222
PWY0-321;phenylacetate degradation I (aerobic);paaF paaK paaZ paaG paaJ paaB paaC paaA paaE paaH;G6714 G6719 G6708 G6715 G6718 G6710 G6711 G6709 G6713 G6716
AMMASSIM-PWY;ammonia assimilation cycle III;gltD gltB glnA;EG10404 EG10403 EG10383
NRI-PWY;Nitrogen Regulation Two-Component System;glnK glnB glnL glnG glnD glnA glnE;EG12191 EG10384 EG10387 EG10385 EG11411 EG10383 EG11602
GLNSYN-PWY;L-glutamine biosynthesis I;glnA;EG10383
PWY-6617;adenosine nucleotides degradation III;ppnN amn;EG12373 EG10039
PWY0-1296;purine ribonucleosides degradation;deoB ppnP xapA deoD add;EG10220 EG12159 G85 EG10222 EG10030
PWY0-1495;KdpDE Two-Component Signal Transduction System, potassium-dependent;kdpD kdpE;EG10516 EG10517
PWY-6282;palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate);acpP tesA fabB fabG fabZ fabI;EG50003 EG11542 EG10274 EG11318 EG11284 EG11528
PWY0-1490;EvgSA Two-Component Signal Transduction System;evgS evgA;EG11610 EG11609
PWY0-1518;Chemotactic Two-Component Signal Transduction;cheA cheB cheY;EG10146 EG10147 EG10150
PWY-7197;pyrimidine deoxyribonucleotide phosphorylation;adk ndk cmk tmk;EG10032 EG10650 EG11265 EG12302
PWY-6543;4-aminobenzoate biosynthesis;pabC pabA pabB;EG11493 EG10682 EG10683
PWY-7206;pyrimidine deoxyribonucleotides dephosphorylation;nudG nudI dut mazG;G6954 G7164 EG10251 EG10572
PWY-6612;superpathway of tetrahydrofolate biosynthesis;pabC pabA pabB folE nudB folB folK folM folA folC folP;EG11493 EG10682 EG10683 EG11375 EG11138 EG11673 EG11374 G6862 EG10326 EG10327 EG50011
PWY-7801;N-end rule pathway I (prokaryotic);leuZ leuP leuU leuX leuT leuW leuQ leuV aat;EG30054 EG30047 EG30050 EG30053 EG30049 EG30052 EG30048 EG30051 EG11112
1CMET2-PWY;<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis;thyA glyA folD gcvT gcvH gcvP lpd metH metF fau folM folA;EG11002 EG10408 EG10328 EG11442 EG10371 EG11810 EG10543 EG10587 EG10585 EG11158 G6862 EG10326
PWY-7184;pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I;trxA trxC nrdB nrdA nrdF nrdE adk ndk tmk thyA nudI dut mazG;EG11031 EG11887 EG10661 EG10660 EG12381 EG20257 EG10032 EG10650 EG12302 EG11002 G7164 EG10251 EG10572
PWY-6614;tetrahydrofolate biosynthesis;folM folA folC folP;G6862 EG10326 EG10327 EG50011
PWY0-1512;CusSR Two-Component Signal Transduction System;cusR cusS;G6319 G6318
PWY-2161;folate polyglutamylation;folC glyA;EG10327 EG10408
PWY-6019;pseudouridine degradation;psuK psuG;EG11646 EG12033
PWY-7179;purine deoxyribonucleosides degradation I;add deoD;EG10030 EG10222
PWY0-1483;PhoRB Two-Component Signal Transduction System, phosphate-dependent;phoR phoB;EG10733 EG10728
PWY0-1474;AtoSC Two-Component Signal Transduction System;atoS atoC;EG11667 EG11668
PWY0-1505;ArcAB Two-Component Signal Transduction System, quinone dependent;arcB arcA;EG10062 EG10061
PANTOSYN-PWY;superpathway of coenzyme A biosynthesis I (bacteria);panD dfp coaE coaD coaA panB ilvC panE panC;EG11747 EG10004 EG12312 EG11190 EG10922 EG11675 EG10495 G6239 EG11746
COMPLETE-ARO-PWY;superpathway of aromatic amino acid biosynthesis;tyrA pheA aspC tyrB ilvE trpB trpA trpD trpE trpC aroD aroE ydiB aroK aroL aroA aroC aroF aroH aroG aroB;EG11039 EG10707 EG10096 EG11040 EG10497 EG11025 EG11024 EG11027 EG11028 EG11026 EG10076 EG10077 EG11234 EG10081 EG10082 EG10073 EG10075 EG10078 EG10080 EG10079 EG10074
P4-PWY;superpathway of L-lysine, L-threonine and L-methionine biosynthesis I;malY metC metB metH metE metA dapB lysC metL thrA asd dapA dapD serC argD dapE lysA dapF aspC thrC thrB;EG10564 EG10583 EG10582 EG10587 EG10584 EG10581 EG10206 EG10550 EG10590 EG10998 EG10088 EG10205 EG10207 EG10946 EG10066 EG10208 EG10549 EG10209 EG10096 EG11000 EG10999
ENTBACSYN-PWY;enterobactin biosynthesis;entF entB entE entD acpS acpT entA menF entC;EG10264 EG10260 EG10263 EG10262 EG10247 EG12221 EG10259 EG12362 EG10261
PWY0-1297;superpathway of purine deoxyribonucleosides degradation;mhpF adhE eutE deoC deoB add deoD;M014 EG10031 G7285 EG10221 EG10220 EG10030 EG10222
ASPASN-PWY;superpathway of L-aspartate and L-asparagine biosynthesis;iaaA ansA ansB asnA asnB aspC aspA;EG12407 EG10045 EG10046 EG10091 EG10092 EG10096 EG10095
SER-GLYSYN-PWY;superpathway of L-serine and glycine biosynthesis I;glyA serB serA serC;EG10408 EG10945 EG10944 EG10946
PWY0-1588;HprSR Two-Component Signal Transduction System;hprS hprR;G7056 G7057
BRANCHED-CHAIN-AA-SYN-PWY;superpathway of branched chain amino acid biosynthesis;tdcB ilvA ilvM ilvG ilvN ilvB ilvH ilvI ilvC ilvE ilvD leuD leuC leuA tyrB dmlA leuB;EG10990 EG10493 EG10501 G8221 EG10502 EG10494 EG10499 EG10500 EG10495 EG10497 EG10496 EG11575 EG11576 EG11226 EG11040 G6986 EG11577
PWY0-1500;EnvZ  Two-Component Signal Transduction System, osmotic responsive;envZ ompR;EG10269 EG10672
PWY-6387;UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing);ddlB ddlA murE murI murD murC murF murB murA;EG10214 EG10213 EG10621 EG11204 EG10620 EG10619 EG10622 EG11205 EG11358
PWY0-1458;PhoQP Two-Component Signal Transduction System, magnesium-dependent;phoQ phoP;EG10732 EG10731
PWY0-1497;RstBA Two-Component Signal Transduction System;rstB rstA;EG11233 G6864
PWY0-1519;Aerotactic Two-Component Signal Transduction System;cheA cheY;EG10146 EG10150
PWY0-1492;UhpBA Two Component Signal Transduction System;uhpB uhpA;EG11052 EG11051
PWY-7220;adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II;nrdH trxA trxC nrdD ndk nrdF nrdE nrdB nrdA;G7401 EG11031 EG11887 EG11417 EG10650 EG12381 EG20257 EG10661 EG10660
